metode,fails1,fails2,lidzibas_procents,konceptu_lidziba,frazu_lidziba,klasifikacija,n_vertiba,loga_izmers,stopvardu_skaits,konceptu_svars,frazu_svars
Heša metode,9_struktura,9_troksni,0.0128,0.0128,0.0128,0,2,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_struktura,0.0067,0.0000,0.0133,0,2,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_ORIGINAL,1.0000,1.0000,1.0000,1,3,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_pilnaKopija,1.0000,1.0000,1.0000,1,3,2,0,0.5000,0.5000
Heša metode,9_ORIGINAL,9_pilnaKopija,1.0000,1.0000,1.0000,1,3,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_konceptuNomaina,0.5000,0.0000,1.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_ORIGINAL,0.5000,0.0000,1.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_pilnaKopija,0.5000,0.0000,1.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_frazuNomaina,0.3576,0.7015,0.0137,0,3,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_ORIGINAL,0.3576,0.7015,0.0137,0,3,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_pilnaKopija,0.3576,0.7015,0.0137,0,3,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_troksni,0.1425,0.0091,0.2759,0,3,2,0,0.5000,0.5000
Heša metode,9_ORIGINAL,9_troksni,0.1425,0.0091,0.2759,0,3,2,0,0.5000,0.5000
Heša metode,9_pilnaKopija,9_troksni,0.1425,0.0091,0.2759,0,3,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_troksni,0.1379,0.0000,0.2759,0,3,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_struktura,0.1117,0.2234,0.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_citsAttels,9_struktura,0.0947,0.1895,0.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_ORIGINAL,9_struktura,0.0947,0.1895,0.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_pilnaKopija,9_struktura,0.0947,0.1895,0.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_citsAttels,0.0771,0.0481,0.1061,0,3,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_ORIGINAL,0.0771,0.0481,0.1061,0,3,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_pilnaKopija,0.0771,0.0481,0.1061,0,3,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_konceptuNomaina,0.0530,0.0000,0.1061,0,3,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_troksni,0.0282,0.0000,0.0563,0,3,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_frazuNomaina,0.0139,0.0278,0.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_konceptuNomaina,0.0068,0.0000,0.0137,0,3,2,0,0.5000,0.5000
Heša metode,9_50uz50_Nomaina,9_struktura,0.0046,0.0092,0.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_frazuNomaina,9_troksni,0.0045,0.0089,0.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_konceptuNomaina,9_struktura,0.0000,0.0000,0.0000,0,3,2,0,0.5000,0.5000
Heša metode,9_struktura,9_troksni,0.0000,0.0000,0.0000,0,3,2,0,0.5000,0.5000
