"METODE","FAILS1","FAILS2","SAKRITIBAS_PROCENTS","KONCEPTU_SAKRITIBA","FRAZU_SAKRITIBA","KLASIFIKACIJA","N_VERTIBA","LOGA_IZMERS","STOPVARDU_SKAITS","KONCEPTU_SVARS","FRAZU_SVARS"
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.7647,0.7647,0.0333,0,2,2,5,1,0
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.7647,0.7647,0.0333,0,2,5,5,1,0
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.375,0.75,0,0,5,0,5,0.5,0.5
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0,0.75,0,0,5,0,5,0,1
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.75,0.75,0,0,5,0,5,1,0
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.3742,0.7292,0.0192,0,3,3,0,0.5,0.5
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.0192,0.7292,0.0192,0,3,3,0,0,1
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.7292,0.7292,0.0192,0,3,3,0,1,0
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0,0.7255,0,0,5,0,10,0,1
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.7255,0.7255,0,0,5,0,10,1,0
"Vardu N-Gramas","9_frazuNomaina","9_ORIGINAL",0.3627,0.7255,0,0,5,0,10,0.5,0.5
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.3627,0.7037,0.0217,0,2,3,5,0.5,0.5
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.7037,0.7037,0.0233,0,2,3,10,1,0
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.3635,0.7037,0.0233,0,2,3,10,0.5,0.5
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.0233,0.7037,0.0233,0,2,3,10,0,1
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.7037,0.7037,0.0217,0,2,3,5,1,0
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.0217,0.7037,0.0217,0,2,3,5,0,1
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.7015,0.7015,0.0137,0,3,2,0,1,0
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.3576,0.7015,0.0137,0,3,2,0,0.5,0.5
"Hesa metode","9_frazuNomaina","9_ORIGINAL",0.0137,0.7015,0.0137,0,3,2,0,0,1
